Council name,Contest Name,First Name,Surname,Party Description,
Angus Council,Arbroath East and Lunan Ward,Lois,SPEED,Independent,
Angus Council,Arbroath East and Lunan Ward,Derek,WANN,Scottish Conservative and Unionist,
Angus Council,Arbroath East and Lunan Ward,Ian,WATSON,Independent,
Angus Council,Arbroath East and Lunan Ward,Sheena ,WELSH,Scottish National Party (SNP),
Angus Council,Montrose and District Ward,Bill,DUFF,Scottish National Party (SNP),
Angus Council,Montrose and District Ward,Pamela,RUDDY,Scottish Labour Party,
Angus Council,Montrose and District Ward,Mark,SALMOND,Independent,
Angus Council,Montrose and District Ward,Avril,SIMPSON,Scottish Liberal Democrats,
Angus Council,Montrose and District Ward,Tommy,STEWART,Independent,
Angus Council,Montrose and District Ward,Gill,STRANOCK,Scottish National Party (SNP),
Angus Council,Montrose and District Ward,Ron,STURROCK,Scottish Conservative and Unionist,
53,,,,,
Argyll & Bute Council,Ward 1 - South Kintyre,John,ARMOUR,Scottish National Party (SNP),UNCONTESTED
Argyll & Bute Council,Ward 1 - South Kintyre,Rory,COLVILLE,Scottish Liberal Democrats,UNCONTESTED
Argyll & Bute Council,Ward 1 - South Kintyre,Donald,Kelly,Scottish Conservative and Unionist,UNCONTESTED
Argyll & Bute Council,Ward 2 - Kintyre and the Islands,Robin,CURRIE,Scottish Liberal Democrats,
Argyll & Bute Council,Ward 2 - Kintyre and the Islands,Anne,HORN,Scottish National Party (SNP),
Argyll & Bute Council,Ward 2 - Kintyre and the Islands,Michael,KELLY,Labour and Co-operative Party,
Argyll & Bute Council,Ward 2 - Kintyre and the Islands,John,MCALPINE,Independent,
Argyll & Bute Council,Ward 2 - Kintyre and the Islands,Alastair,REDMAN,Scottish Conservative and Unionist,
Argyll & Bute Council,Ward 2 - Kintyre and the Islands,Ed,TYLER,Scottish Greens - Power In Your Hands,
Argyll & Bute Council,Ward 3 - Mid Argyll,Jane,KELLY,Scottish Labour Party,
Argyll & Bute Council,Ward 3 - Mid Argyll,Donnie,MACMILLAN,Independent,
Argyll & Bute Council,Ward 3 - Mid Argyll,Jane,MCCURDIE,Independent,
Argyll & Bute Council,Ward 3 - Mid Argyll,Alec,MCNEILLY,Scottish Conservative and Unionist,
Argyll & Bute Council,Ward 3 - Mid Argyll,Elaine,MORRISON,Scottish Greens - Power In Your Hands,
Argyll & Bute Council,Ward 3 - Mid Argyll,Douglas Trevor,PHILAND,Independent,
Argyll & Bute Council,Ward 3 - Mid Argyll,Sandy,TAYLOR,Scottish National Party (SNP),
Argyll & Bute Council,Ward 4 - Oban South and the Isles,Jake,AINSCOUGH,Scottish Labour Party,
Argyll & Bute Council,Ward 4 - Oban South and the Isles,Mary-Jean,DEVON,Independent,
Argyll & Bute Council,Ward 4 - Oban South and the Isles,Jim,LYNCH,Scottish National Party (SNP),
Argyll & Bute Council,Ward 4 - Oban South and the Isles,Alistair,MACDOUGALL,Independent,
Argyll & Bute Council,Ward 4 - Oban South and the Isles,Sean,MACINTYRE,Scottish National Party (SNP),
Argyll & Bute Council,Ward 4 - Oban South and the Isles,Roddy,MCCUISH,Independent,
Argyll & Bute Council,Ward 4 - Oban South and the Isles,Jamie,MCGRIGOR,Scottish Conservative and Unionist,
